name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
mahindra thar crde abs,2018.0,900000.0,26235.0,diesel,dealer,manual,first owner,16.55,2498.0,105,6.0
tata nexon 1.5 revotorq xz plus,2017.0,919999.0,26766.0,diesel,dealer,manual,first owner,21.5,1497.0,108.5,5.0
mg hector sharp dct dualtone,2020.0,,1600.0,petrol,dealer,automatic,first owner,13.96,1451.0,141,5.0
mercedes-benz new c-class c 220 cdi elegance mt,2018.0,400000.0,46000.0,diesel,dealer,manual,first owner,15.8,2148.0,170,5.0
mahindra marazzo m2 bsiv,2019.0,1075000.0,23000.0,diesel,dealer,manual,first owner,17.3,1497.0,121,7.0
maruti swift vxi optional,2017.0,600000.0,24522.0,petrol,dealer,manual,first owner,20.4,1197.0,81.8,5.0
bmw 3 series 320d,2017.0,400000.0,13663.0,diesel,dealer,automatic,first owner,22.69,1995.0,190,5.0
skoda octavia style plus 2.0 tdi at,2019.0,400000.0,11000.0,diesel,dealer,automatic,first owner,19.3,1968.0,141,5.0
maruti vitara brezza zdi plus,2016.0,839000.0,63000.0,diesel,dealer,manual,first owner,24.3,1248.0,88.5,5.0
volkswagen polo 1.2 mpi comfortline,2019.0,635000.0,2000.0,petrol,dealer,manual,first owner,16.2,1199.0,74,5.0
mahindra scorpio vlx 2wd airbag bsiv,2014.0,550000.0,69500.0,diesel,individual,manual,third owner,12.05,2179.0,120,
mahindra logan diesel 1.5 dle,2011.0,180000.0,190000.0,diesel,individual,manual,third owner,19.2,1461.0,65,5.0
honda city i dtec e,2015.0,650000.0,80000.0,diesel,individual,manual,first owner,26.0,1498.0,98.6,5.0
honda jazz select edition active,2011.0,350000.0,80000.0,petrol,individual,manual,second owner,16.0,1198.0,90,5.0
maruti alto k10 lxi,2015.0,265000.0,54000.0,petrol,individual,manual,first owner,23.95,998.0,67.05,5.0
renault kwid 1.0 rxt optional,2018.0,330000.0,30000.0,petrol,individual,manual,first owner,23.01,999.0,67,5.0
maruti eeco 7 seater standard bsiv,2019.0,395000.0,5000.0,petrol,individual,manual,first owner,15.37,1196.0,73,7.0
mahindra tuv 300 t8,2015.0,700000.0,58945.0,diesel,individual,manual,first owner,18.49,1493.0,100,7.0
ford figo diesel titanium,2012.0,300000.0,90000.0,diesel,individual,manual,first owner,20.0,1399.0,68,5.0
toyota innova 2.5 g (diesel) 7 seater bs iv,2011.0,650000.0,69500.0,diesel,individual,manual,first owner,12.8,2494.0,102,
maruti ertiga vdi,2013.0,625000.0,160000.0,diesel,individual,manual,third owner,20.77,1248.0,88.76,7.0
volkswagen polo gt tdi,2014.0,425000.0,80000.0,diesel,individual,manual,second owner,15.11,1598.0,103.6,5.0
maruti 800 ac bsii,2004.0,55000.0,50000.0,petrol,individual,manual,third owner,16.1,796.0,37,4.0
tata indigo cs lx (tdi) bs-iii,2015.0,250000.0,80000.0,diesel,individual,manual,second owner,19.09,1405.0,69.01,5.0
mahindra bolero 2011-2019 plus ac,2015.0,459999.0,156975.0,diesel,individual,manual,first owner,15.96,2523.0,62.1,5.0
toyota corolla altis 1.4 dgl,2017.0,,5000.0,diesel,individual,manual,first owner,21.43,1364.0,86.79,5.0
chevrolet sail 1.2 ls abs,2014.0,300000.0,50000.0,petrol,individual,manual,first owner,18.2,1199.0,82.4,5.0
ford ecosport 1.5 tdci titanium bsiv,2018.0,950000.0,27620.0,diesel,dealer,manual,first owner,22.77,1498.0,98.59,5.0
mahindra scorpio lx,2013.0,484999.0,120000.0,diesel,individual,manual,first owner,12.05,2179.0,120,5.0
mahindra xylo e8,2009.0,161000.0,120000.0,diesel,individual,manual,third owner,14.0,2498.0,112,
hyundai i20 active 1.2 s,2015.0,500000.0,58000.0,petrol,individual,manual,first owner,17.19,1197.0,81.86,5.0
nissan sunny xv,2012.0,350000.0,50000.0,petrol,individual,manual,first owner,16.95,1498.0,97.7,5.0
maruti ignis 1.2 amt alpha bsiv,2017.0,550000.0,40000.0,petrol,individual,automatic,first owner,20.89,1197.0,81.8,5.0
honda wr-v i-vtec vx,2018.0,850000.0,7800.0,petrol,individual,manual,first owner,17.5,1199.0,88.7,5.0
maruti alto 800 lxi,2016.0,240000.0,50000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
ford endeavour 2.5l 4x2 mt,2011.0,950000.0,68000.0,diesel,individual,manual,first owner,13.1,2499.0,141,7.0
maruti ertiga vxi,2015.0,423000.0,60000.0,petrol,individual,manual,second owner,16.02,1373.0,93.7,7.0
tata indigo gls,2005.0,90000.0,74000.0,petrol,individual,manual,second owner,12.8,1396.0,85,5.0
tata new safari dicor 2.2 vx 4x2 bs iv,2011.0,350000.0,58000.0,diesel,individual,manual,second owner,13.93,2179.0,138.1,7.0
maruti a-star vxi,2011.0,170000.0,70000.0,petrol,individual,manual,third owner,19.0,998.0,66.1,5.0
ford figo aspire 1.2 ti-vct titanium plus,2015.0,450000.0,70000.0,petrol,individual,manual,first owner,18.16,1196.0,86.8,5.0
hyundai i10 magna,2009.0,150000.0,110000.0,petrol,individual,manual,second owner,20.36,1197.0,78.9,5.0
hyundai santro lp zipplus,,75000.0,80000.0,petrol,individual,manual,third owner,19.44,1248.0,74,5.0
hyundai i20 sportz 1.4 crdi,2016.0,511000.0,80000.0,diesel,individual,manual,first owner,22.54,1396.0,88.73,5.0
maruti ertiga 1.5 vdi,2018.0,850000.0,59000.0,diesel,individual,manual,first owner,24.2,1498.0,93.87,7.0
tata indica v2 els,2018.0,250000.0,110000.0,diesel,individual,manual,first owner,25.0,1396.0,69,5.0
maruti celerio zxi,2020.0,420000.0,25000.0,petrol,individual,manual,first owner,21.63,998.0,67.04,5.0
maruti alto 800 lxi,2014.0,180000.0,55000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
maruti celerio zdi,2015.0,400000.0,25000.0,diesel,individual,manual,first owner,27.62,793.0,47,5.0
mahindra xylo e4,2009.0,150000.0,69500.0,diesel,individual,manual,first owner,14.0,2498.0,112,7.0
ford figo 1.5d titanium mt,2016.0,500000.0,143200.0,diesel,individual,manual,first owner,25.83,1498.0,99,5.0
jeep compass 2.0 longitude option bsiv,2017.0,,60000.0,diesel,individual,manual,first owner,17.1,1956.0,170,5.0
nissan micra diesel xv premium,2012.0,204999.0,120000.0,diesel,individual,manual,first owner,23.08,1461.0,63.1,5.0
maruti ciaz vdi plus,2014.0,459999.0,145000.0,diesel,individual,manual,second owner,26.21,1248.0,88.5,5.0
hyundai i20 2015-2017 magna 1.2,2017.0,600000.0,30000.0,petrol,individual,manual,first owner,18.6,1197.0,81.83,5.0
hyundai grand i10 1.2 kappa sportz dual tone,2019.0,585000.0,8000.0,petrol,individual,manual,first owner,18.9,1197.0,81.86,5.0
ford endeavour 2.5l 4x2 mt,2012.0,551000.0,170000.0,diesel,individual,manual,first owner,13.1,2499.0,141,7.0
maruti swift dzire ldi,2013.0,525000.0,100000.0,diesel,individual,manual,first owner,23.4,1248.0,74,5.0
maruti omni 8 seater bsiv,2012.0,160000.0,62000.0,petrol,individual,manual,first owner,14.0,796.0,35,5.0
mahindra xuv500 w8 awd,2014.0,825000.0,110000.0,diesel,individual,manual,first owner,15.1,2179.0,140,7.0
hyundai santro xing gl cng,2007.0,127000.0,137000.0,cng,individual,manual,first owner,19.44,1248.0,74,5.0
chevrolet tavera neo 3 ls 9 str bsiii,2015.0,600000.0,80000.0,diesel,individual,manual,second owner,13.58,2499.0,72.4,5.0
maruti zen base,,65000.0,80000.0,petrol,individual,manual,second owner,17.3,993.0,60,5.0
maruti swift dzire vdi,2013.0,550000.0,100000.0,diesel,individual,manual,first owner,23.4,1248.0,74,5.0
mahindra bolero 2011-2019 plus - ac bsiii,2015.0,650000.0,120000.0,diesel,individual,manual,first owner,15.96,2523.0,63,5.0
maruti swift dzire vdi,2019.0,750000.0,24000.0,diesel,individual,manual,first owner,28.4,1248.0,74.02,5.0
mahindra kuv 100 mfalcon d75 k8,2017.0,380000.0,80000.0,diesel,individual,manual,first owner,25.32,1198.0,77,6.0
hyundai verna 1.6 sx crdi (o),2012.0,400000.0,138000.0,diesel,individual,manual,first owner,22.32,1582.0,126.32,5.0
maruti wagon r lxi,2003.0,50000.0,147000.0,petrol,individual,manual,fourth & above owner,18.9,998.0,67.1,5.0
mahindra tuv 300 mhawk100 t8 dual tone,2017.0,750000.0,60000.0,diesel,individual,manual,first owner,18.49,1493.0,100,7.0
chevrolet spark 1.0 ls,2011.0,150000.0,80000.0,petrol,individual,manual,first owner,18.0,995.0,62,5.0
maruti alto 800 lxi,2016.0,245000.0,50000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
tata manza club class quadrajet90 vx,2013.0,260000.0,189000.0,diesel,individual,manual,first owner,21.02,1248.0,88.76,5.0
volkswagen vento 1.5 tdi highline at,2014.0,411000.0,90000.0,diesel,individual,automatic,second owner,21.21,1498.0,103.2,5.0
hyundai i20 sportz 1.4 crdi,2014.0,450000.0,56000.0,diesel,individual,manual,first owner,21.9,1396.0,88.76,5.0
bmw 3 series 320d luxury line,2012.0,1300000.0,140000.0,diesel,individual,automatic,second owner,18.88,1995.0,184,5.0
maruti celerio vxi,2016.0,351000.0,60000.0,petrol,individual,manual,first owner,23.1,998.0,67.04,5.0
mahindra xuv500 w8 4wd,2012.0,550000.0,130000.0,diesel,individual,manual,first owner,15.1,2179.0,140,7.0
bmw 3 series 320d luxury plus,2013.0,1300000.0,140000.0,diesel,individual,automatic,second owner,18.88,1995.0,184,5.0
nissan terrano xe 85 ps,2016.0,750000.0,35000.0,diesel,individual,manual,first owner,20.45,1461.0,83.8,5.0
nissan terrano xl 85 ps,2015.0,800000.0,35000.0,diesel,individual,manual,first owner,20.45,1461.0,83.8,5.0
tata new safari dicor 2.2 ex 4x2,2011.0,350000.0,156000.0,diesel,individual,manual,first owner,11.57,2179.0,138.1,7.0
maruti alto 800 lx,2013.0,200000.0,90000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
tata indigo ls,2008.0,150000.0,60000.0,diesel,individual,manual,third owner,17.0,1405.0,70,5.0
nissan terrano xl 110 ps,2016.0,800000.0,36000.0,diesel,individual,manual,first owner,19.01,1461.0,108.5,5.0
hyundai eon era plus sports edition,2017.0,350000.0,20000.0,petrol,individual,manual,second owner,21.1,814.0,55.2,5.0
tata new safari dicor 2.2 vx 4x2,2011.0,350000.0,160000.0,diesel,individual,manual,first owner,13.93,2179.0,138,7.0
mahindra scorpio 2.6 turbo 9 str,2006.0,250000.0,185000.0,diesel,individual,manual,first owner,12.7,2609.0,116.6,5.0
tata indica vista terra 1.4 tdi,2010.0,170000.0,110000.0,diesel,individual,manual,second owner,17.0,1405.0,71,5.0
renault kwid rxt optional,2018.0,395000.0,10800.0,petrol,individual,manual,first owner,25.17,799.0,53.3,5.0
mahindra bolero 2011-2019 sle,2012.0,450000.0,120000.0,diesel,individual,manual,first owner,15.96,2523.0,62.1,7.0
maruti ignis 1.2 delta bsiv,2019.0,500000.0,15000.0,petrol,individual,manual,first owner,20.89,1197.0,81.8,5.0
tata sumo ex 10/7 str bsiii,2012.0,200000.0,67500.0,diesel,individual,manual,first owner,12.2,1948.0,68,5.0
tata hexa xm,2017.0,1200000.0,30000.0,diesel,individual,manual,first owner,17.6,2179.0,153.86,7.0
mahindra kuv 100 mfalcon d75 k8,2016.0,400000.0,50000.0,diesel,individual,manual,first owner,25.32,1198.0,77,6.0
mahindra tuv 300 t8,2016.0,650000.0,100000.0,diesel,individual,manual,first owner,18.49,1493.0,100,7.0
mahindra bolero 2011-2019 di - ac bs iii,2016.0,550000.0,150000.0,diesel,individual,manual,first owner,15.96,2523.0,63,5.0
mahindra xuv500 w10 2wd,2015.0,1100000.0,110000.0,diesel,individual,manual,first owner,16.0,2179.0,140,7.0
maruti alto 800 lxi,2012.0,254999.0,30000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
maruti alto lxi,2011.0,180000.0,60000.0,petrol,individual,manual,first owner,19.7,796.0,46.3,5.0
mahindra xylo d2,2010.0,160000.0,69500.0,diesel,individual,manual,second owner,13.0,2489.0,95,
chevrolet optra magnum 2.0 lt bs3,2008.0,225000.0,120000.0,diesel,individual,manual,second owner,16.52,1991.0,123.7,5.0
maruti alto 800 lxi,2015.0,270000.0,49900.0,petrol,individual,manual,second owner,22.74,796.0,47.3,5.0
tata manza aura quadrajet bs iv,2012.0,310000.0,86000.0,diesel,individual,manual,first owner,21.12,1248.0,88.8,5.0
datsun go t bsiv,2015.0,225000.0,71850.0,petrol,individual,manual,first owner,20.63,1198.0,67,5.0
fiat grande punto evo 1.3 dynamic,2015.0,300000.0,95000.0,diesel,individual,manual,third owner,21.2,1248.0,75,5.0
maruti swift dzire vxi,2008.0,250000.0,70000.0,petrol,individual,manual,fourth & above owner,17.5,1298.0,85.8,5.0
hyundai eon sportz,2011.0,180000.0,35000.0,petrol,individual,manual,first owner,21.1,814.0,55.2,5.0
maruti swift dzire vxi,2015.0,550000.0,50000.0,petrol,individual,manual,first owner,20.85,1197.0,83.14,5.0
mahindra bolero xl 10 seater non ac,2007.0,300000.0,120000.0,diesel,individual,manual,third owner,13.6,2523.0,63,7.0
hyundai elantra crdi sx,2015.0,900000.0,145000.0,diesel,individual,manual,first owner,22.7,1582.0,126.2,5.0
tata sumo ex bs iv,2012.0,254999.0,190000.0,diesel,individual,manual,third owner,19.44,1248.0,74,5.0
mahindra xuv500 w9 2wd,2018.0,,40000.0,diesel,individual,manual,first owner,16.0,2179.0,138,7.0
maruti baleno delta 1.3,2015.0,590000.0,110000.0,diesel,individual,manual,first owner,27.39,1248.0,74,5.0
maruti wagon r lxi duo bsiii,2008.0,170000.0,112000.0,lpg,individual,manual,second owner,17.3,1061.0,57.5,5.0
audi a3 35 tdi premium plus,2017.0,400000.0,70000.0,diesel,individual,automatic,first owner,20.38,1968.0,143,5.0
maruti ritz vdi,2016.0,475000.0,110000.0,diesel,individual,manual,first owner,23.2,1248.0,73.94,5.0
hyundai grand i10 1.2 crdi asta,2018.0,700000.0,29000.0,diesel,individual,manual,first owner,24.0,1186.0,73.97,5.0
maruti wagon r vxi bs iv,2011.0,376000.0,60000.0,petrol,individual,manual,first owner,18.9,998.0,67.1,5.0
hyundai santro gs zipdrive - euro i,,100000.0,120000.0,petrol,individual,manual,fourth & above owner,19.44,1248.0,74,5.0
maruti 800 std bsii,2004.0,75000.0,46000.0,petrol,individual,manual,fourth & above owner,16.1,796.0,37,4.0
mahindra scorpio vls at 2.2 mhawk,2012.0,440000.0,120000.0,diesel,individual,automatic,third owner,11.79,2179.0,120,
maruti wagon r vxi optional,2016.0,390000.0,80000.0,petrol,individual,manual,first owner,20.51,998.0,67.04,5.0
toyota innova 2.5 vx 7 str,2012.0,725000.0,159000.0,diesel,individual,manual,second owner,12.8,2494.0,102,7.0
mahindra bolero 2011-2019 sle,2012.0,325000.0,110000.0,diesel,individual,manual,second owner,15.96,2523.0,62.1,7.0
maruti alto lxi,2010.0,170000.0,75000.0,petrol,individual,manual,second owner,19.7,796.0,46.3,5.0
maruti swift dzire ldi,2010.0,215000.0,120000.0,diesel,individual,manual,third owner,19.3,1248.0,73.9,5.0
honda city 1.5 v inspire,2010.0,350000.0,110000.0,petrol,individual,manual,third owner,17.0,1497.0,118,5.0
chevrolet spark 1.0 ls,2009.0,80000.0,80000.0,petrol,individual,manual,fourth & above owner,18.0,995.0,62,5.0
hyundai eon magna plus,2012.0,195000.0,80000.0,petrol,individual,manual,second owner,21.1,814.0,55.2,5.0
maruti swift vdi bsiv w abs,2011.0,280000.0,85000.0,diesel,individual,manual,first owner,19.44,1248.0,74,5.0
nissan sunny diesel xl,2014.0,335000.0,71000.0,diesel,dealer,manual,first owner,21.64,1461.0,84.8,5.0
mahindra xuv500 w6 2wd,2011.0,475000.0,108000.0,diesel,dealer,manual,first owner,16.0,2179.0,140,7.0
renault duster 85ps diesel rxl,2015.0,484999.0,75000.0,diesel,dealer,manual,first owner,19.87,1461.0,83.8,5.0
maruti ciaz delta bsiv,2018.0,650000.0,22000.0,petrol,individual,manual,second owner,21.56,1462.0,103.25,5.0
audi q5 3.0 tdi quattro,2014.0,,76131.0,diesel,individual,automatic,first owner,13.22,1248.0,241.4,5.0
hyundai i20 1.2 asta,2018.0,700000.0,30000.0,petrol,individual,manual,second owner,18.6,1197.0,81.83,5.0
audi q7 3.0 tdi quattro,2014.0,400000.0,65000.0,diesel,individual,automatic,first owner,12.07,1248.0,241.4,7.0
mahindra scorpio s3 9 seater bsiv,2018.0,900000.0,60000.0,diesel,individual,manual,first owner,15.4,2523.0,75,7.0
volkswagen polo diesel highline 1.2l,2013.0,350000.0,80000.0,diesel,individual,manual,first owner,22.07,1199.0,73.9,5.0
honda accord v6 at,2005.0,285000.0,80000.0,petrol,individual,automatic,second owner,9.0,1248.0,218,5.0
audi q7 3.0 tdi quattro premium plus,2012.0,,70000.0,diesel,individual,automatic,first owner,12.07,1248.0,241.4,7.0
maruti vitara brezza vdi,2017.0,750000.0,51777.0,diesel,dealer,manual,first owner,24.3,1248.0,88.5,5.0
land rover freelander 2 td4 hse,2013.0,,64788.0,diesel,dealer,automatic,first owner,19.44,2179.0,115,5.0
honda amaze v petrol bsiv,2018.0,600000.0,20000.0,petrol,individual,manual,first owner,19.5,1199.0,88.76,5.0
volkswagen polo 2015-2019 1.0 mpi comfortline,2018.0,565000.0,19000.0,petrol,individual,manual,first owner,18.78,999.0,75,5.0
daewoo matiz ss,2014.0,86000.0,46951.0,petrol,individual,manual,first owner,18.5,796.0,53,5.0
datsun go t bsiv,2016.0,329000.0,19000.0,petrol,individual,manual,first owner,20.63,1198.0,67,5.0
ford ecosport 1.5 tdci titanium plus bsiv,2016.0,650000.0,50000.0,diesel,individual,manual,first owner,22.77,1498.0,98.59,5.0
hyundai creta 1.6 crdi sx option,2015.0,822000.0,60000.0,diesel,individual,manual,first owner,19.67,1582.0,126.2,5.0
renault duster 110ps diesel rxl,2013.0,345000.0,100000.0,diesel,individual,manual,second owner,19.01,1461.0,108.45,5.0
maruti zen lxi,2014.0,30000.0,10000.0,petrol,individual,manual,first owner,17.3,993.0,60,5.0
maruti swift vdi,2012.0,330000.0,50000.0,diesel,individual,manual,second owner,22.9,1248.0,74,5.0
maruti wagon r stingray vxi,2014.0,300000.0,74537.0,petrol,individual,manual,second owner,20.51,998.0,67.04,5.0
maruti sx4 zxi at,2009.0,200000.0,90000.0,petrol,individual,automatic,second owner,12.6,1586.0,103.3,5.0
tata indica vista aqua 1.3 quadrajet (abs),2012.0,200000.0,80000.0,diesel,individual,manual,second owner,19.44,1248.0,74,5.0
chevrolet spark 1.0,2010.0,90000.0,70000.0,petrol,individual,manual,second owner,18.0,995.0,62,5.0
maruti wagon r vxi minor,2010.0,200000.0,80000.0,petrol,individual,manual,second owner,18.9,1061.0,67,5.0
hyundai xcent 1.1 crdi sx,2016.0,550000.0,35000.0,diesel,individual,manual,first owner,24.4,1120.0,71,5.0
chevrolet beat lt,2015.0,250000.0,23500.0,petrol,individual,manual,first owner,18.6,1199.0,76.8,5.0
honda city i-dtec vx,2017.0,975000.0,82000.0,diesel,individual,manual,first owner,25.6,1498.0,97.9,5.0
toyota innova 2.5 g (diesel) 8 seater,2014.0,900000.0,100000.0,diesel,individual,manual,second owner,12.99,2494.0,100.6,
hyundai i20 1.2 spotz,2018.0,610000.0,15000.0,petrol,individual,manual,first owner,18.6,1197.0,81.83,5.0
maruti baleno zeta 1.3,2017.0,620000.0,30000.0,diesel,individual,manual,first owner,27.39,1248.0,74,5.0
hyundai grand i10 sportz,2016.0,400000.0,30000.0,petrol,individual,manual,first owner,18.9,1197.0,82,5.0
maruti celerio x zxi bsiv,2019.0,500000.0,11000.0,petrol,individual,manual,first owner,21.63,998.0,67,5.0
datsun go plus t,2017.0,200000.0,140000.0,petrol,individual,manual,first owner,19.02,1198.0,67.05,7.0
tata zest quadrajet 1.3 xm,2016.0,360000.0,110000.0,diesel,individual,manual,first owner,23.0,1248.0,88.7,5.0
maruti alto k10 2010-2014 vxi,2012.0,252000.0,48000.0,petrol,individual,manual,first owner,20.92,998.0,67.1,5.0
maruti swift vdi,2012.0,280000.0,70000.0,diesel,individual,manual,second owner,22.9,1248.0,74,5.0
maruti swift vxi 2018,2018.0,509999.0,70000.0,petrol,individual,manual,second owner,22.0,1197.0,81.8,5.0
mahindra scorpio 1.99 s6 plus,2016.0,1050000.0,58000.0,diesel,individual,manual,first owner,15.4,1997.0,120,7.0
maruti wagon r lxi duo bsiii,2010.0,200000.0,40000.0,lpg,individual,manual,fourth & above owner,17.3,1061.0,57.5,5.0
maruti zen lxi,2005.0,60000.0,90000.0,petrol,individual,manual,second owner,17.3,993.0,60,5.0
mahindra xylo e8 abs airbag,2010.0,320000.0,40000.0,diesel,individual,manual,second owner,14.0,2498.0,112,7.0
mahindra scorpio lx,2013.0,520000.0,110000.0,diesel,individual,manual,first owner,12.05,2179.0,120,5.0
tata new safari dicor 2.2 lx 4x2,2007.0,250000.0,80000.0,diesel,individual,manual,second owner,11.57,2179.0,138.1,7.0
maruti vitara brezza zdi,2017.0,725000.0,60000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
mahindra bolero 2011-2019 slx,2015.0,585000.0,50000.0,diesel,individual,manual,first owner,15.96,2523.0,62.1,7.0
tata tiago 1.2 revotron xz,2017.0,430000.0,25000.0,petrol,individual,manual,first owner,23.84,1199.0,84,5.0
maruti swift vdi,2011.0,235000.0,100000.0,diesel,individual,manual,second owner,22.9,1248.0,74,5.0
maruti swift dzire vdi,2012.0,350000.0,52000.0,diesel,individual,manual,third owner,19.3,1248.0,73.9,5.0
hyundai i10 era 1.1,2010.0,131000.0,80000.0,petrol,individual,manual,third owner,19.81,1086.0,68.05,5.0
honda amaze vx i-dtec,2016.0,450000.0,85000.0,diesel,individual,manual,first owner,25.8,1498.0,98.6,5.0
maruti vitara brezza zdi plus,2016.0,750000.0,83000.0,diesel,individual,manual,first owner,24.3,1248.0,88.5,5.0
maruti alto 800 lxi,2013.0,200000.0,50000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
maruti wagon r lxi minor,2009.0,125000.0,120000.0,petrol,individual,manual,fourth & above owner,18.9,1061.0,67,5.0
mahindra bolero 2011-2019 sle,2014.0,500000.0,100000.0,diesel,individual,manual,first owner,15.96,2523.0,62.1,7.0
maruti swift vdi,2012.0,380000.0,70000.0,diesel,individual,manual,third owner,22.9,1248.0,74,5.0
maruti alto lxi,2008.0,128000.0,19000.0,petrol,individual,manual,first owner,19.7,796.0,46.3,5.0
honda city 1.5 s mt,2009.0,250000.0,68600.0,petrol,individual,manual,third owner,17.0,1497.0,118,5.0
mahindra bolero power plus slx,2017.0,690000.0,60000.0,diesel,individual,manual,first owner,16.5,1493.0,70,7.0
mahindra bolero 2011-2019 slx,2014.0,650000.0,65000.0,diesel,individual,manual,second owner,15.96,2523.0,62.1,7.0
honda city e,2012.0,560000.0,40000.0,petrol,individual,manual,second owner,16.8,1497.0,116.3,5.0
tata indica vista aqua 1.3 quadrajet (abs),2012.0,120000.0,160000.0,diesel,individual,manual,second owner,19.44,1248.0,74,5.0
maruti celerio vxi,2016.0,400000.0,25000.0,petrol,individual,manual,first owner,23.1,998.0,67.04,5.0
maruti alto k10 lxi,2012.0,200000.0,29500.0,petrol,individual,manual,first owner,20.92,998.0,67.1,5.0
hyundai verna vtvt 1.6 sx,2018.0,950000.0,13887.0,petrol,individual,manual,first owner,17.0,1591.0,121.3,5.0
maruti alto 800 vxi,2016.0,300000.0,50000.0,petrol,individual,manual,second owner,22.74,796.0,47.3,5.0
renault kwid rxl,2016.0,315000.0,30000.0,petrol,individual,manual,second owner,25.17,799.0,53.3,5.0
maruti alto 800 lxi,2012.0,220000.0,100000.0,petrol,individual,manual,first owner,22.74,796.0,47.3,5.0
chevrolet aveo 1.4 ls,2011.0,130000.0,60000.0,petrol,individual,manual,second owner,14.49,1399.0,92.7,5.0
hyundai i20 sportz option 1.4 crdi,2016.0,595000.0,60000.0,diesel,individual,manual,second owner,22.54,1396.0,88.73,5.0
tata indica vista tdi ls,2011.0,110000.0,120000.0,diesel,individual,manual,first owner,19.4,1405.0,70,5.0
ford ecosport 1.5 petrol ambiente bsiv,2017.0,680000.0,13500.0,petrol,individual,manual,first owner,17.0,1497.0,121.36,5.0
fiat grande punto active (diesel),2013.0,280000.0,52000.0,diesel,individual,manual,first owner,20.3,1248.0,75,5.0
maruti baleno delta 1.2,2017.0,530000.0,30000.0,petrol,individual,manual,second owner,21.4,1197.0,83.1,5.0
hyundai xcent 1.2 kappa sx option,2017.0,610000.0,14000.0,petrol,individual,manual,first owner,19.1,1197.0,82,5.0
tata aria pure lx 4x2,2014.0,500000.0,90000.0,diesel,individual,manual,second owner,15.05,2179.0,147.9,7.0
tata tigor 1.05 revotorq xm,2018.0,500000.0,50000.0,diesel,individual,manual,first owner,24.7,1047.0,69,5.0
mahindra xylo d2,2010.0,250000.0,120000.0,diesel,individual,manual,second owner,13.0,2489.0,95,
hyundai eon magna plus,2018.0,325000.0,10000.0,petrol,individual,manual,first owner,21.1,814.0,55.2,5.0
maruti baleno delta 1.2,2018.0,550000.0,10000.0,petrol,individual,manual,first owner,21.4,1197.0,83.1,5.0
maruti ciaz 1.4 alpha,2018.0,720000.0,25000.0,petrol,individual,manual,first owner,20.73,1373.0,91.1,5.0
hyundai verna vtvt 1.6 sx,2017.0,950000.0,20000.0,petrol,individual,manual,first owner,17.0,1591.0,121.3,5.0
maruti swift vdi,2013.0,350000.0,60000.0,diesel,individual,manual,first owner,22.9,1248.0,74,5.0
hyundai grand i10 1.2 kappa sportz option,2018.0,500000.0,40000.0,petrol,individual,manual,first owner,18.9,1197.0,81.86,5.0
maruti swift dzire vdi,2012.0,380000.0,60000.0,diesel,individual,manual,first owner,19.3,1248.0,73.9,5.0
hyundai xcent 1.2 kappa at sx option,2015.0,380000.0,50000.0,petrol,individual,automatic,first owner,16.9,1197.0,82,5.0
hyundai verna vtvt 1.6 sx,2017.0,900000.0,20000.0,petrol,individual,manual,first owner,17.0,1591.0,121.3,5.0
maruti alto 800 vxi,2017.0,295000.0,35000.0,petrol,individual,manual,first owner,24.7,796.0,47.3,5.0
maruti ciaz vdi plus shvs,2016.0,640000.0,40000.0,diesel,individual,manual,first owner,28.09,1248.0,88.5,5.0
tata nexon 1.5 revotorq xz plus,2018.0,790000.0,60000.0,diesel,individual,manual,first owner,21.5,1497.0,108.5,5.0
hyundai verna 1.6 vtvt s option,2015.0,625000.0,20000.0,petrol,individual,manual,first owner,17.01,1591.0,121.4,5.0
ford ecosport 1.5 petrol trend bsiv,2017.0,604000.0,30000.0,petrol,individual,manual,second owner,17.0,1497.0,121.36,5.0
maruti alto k10 vxi,2015.0,315000.0,29000.0,petrol,individual,manual,first owner,23.95,998.0,67.05,5.0
mahindra xuv300 w6 diesel bsiv,2019.0,950000.0,17000.0,diesel,individual,manual,first owner,20.0,1497.0,115,5.0
maruti wagon r vxi plus optional,2017.0,400000.0,50000.0,petrol,individual,manual,first owner,20.51,998.0,67.04,5.0
hyundai i20 1.4 magna at,2018.0,700000.0,42000.0,petrol,individual,automatic,first owner,18.6,1368.0,98.63,5.0
toyota innova 2.5 g (diesel) 8 seater bs iv,2011.0,700000.0,120000.0,diesel,individual,manual,second owner,12.8,2494.0,102,
mahindra verito 1.5 d4 bsiv,2012.0,260000.0,110000.0,diesel,individual,manual,first owner,21.03,1461.0,65,5.0
tata indigo cr4,2012.0,200000.0,90000.0,diesel,individual,manual,first owner,23.57,1396.0,70,5.0
maruti dzire vxi,2020.0,580000.0,70000.0,petrol,individual,manual,first owner,23.26,1197.0,88.5,5.0
